ID,Ethnicity
269,Korean
270,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
271,Korean
272,Chinese (including Hong Kong and Macau)
273,Prefer not to answer
274,Korean
275,White 
276,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
277,White 
278,"Latin, Central, or South American (e.g. Brazilian, Chilean, Colombian, Mexican) ,White "
279,"Chinese (including Hong Kong and Macau),White "
280,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
281,Filipino
282,None of the above
283,"Japanese,White "
284,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
285,Chinese (including Hong Kong and Macau)
286,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
287,Korean
288,Chinese (including Hong Kong and Macau)
289,"Chinese (including Hong Kong and Macau),Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
290,None of the above
291,Chinese (including Hong Kong and Macau)
292,Chinese (including Hong Kong and Macau)
293,White 
294,Chinese (including Hong Kong and Macau)
295,"Chinese (including Hong Kong and Macau),Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
296,Chinese (including Hong Kong and Macau)
297,Japanese
298,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
299,Chinese (including Hong Kong and Macau)
300,Prefer not to answer
301,Chinese (including Hong Kong and Macau)
302,Chinese (including Hong Kong and Macau)
303,Chinese (including Hong Kong and Macau)
304,Chinese (including Hong Kong and Macau)
305,Chinese (including Hong Kong and Macau)
306,Chinese (including Hong Kong and Macau)
307,Korean
308,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
309,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
310,Filipino
311,White 
312,"Indigenous person of Canada (First Nations, Inuit, Métis)"
313,White 
314,Chinese (including Hong Kong and Macau)
315,Prefer not to answer
316,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) ,West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
317,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
318,Chinese (including Hong Kong and Macau)
319,Chinese (including Hong Kong and Macau)
320,"Chinese (including Hong Kong and Macau),Japanese"
321,White 
322,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
323,Chinese (including Hong Kong and Macau)
324,Chinese (including Hong Kong and Macau)
325,White 
326,White 
327,White 
328,Chinese (including Hong Kong and Macau)
329,Prefer not to answer
330,Korean
331,"Chinese (including Hong Kong and Macau),Filipino"
332,Chinese (including Hong Kong and Macau)
333,"Chinese (including Hong Kong and Macau),White "
334,"Chinese (including Hong Kong and Macau),South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) ,White "
335,Chinese (including Hong Kong and Macau)
336,None of the above
337,White 
338,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
339,White 
340,Chinese (including Hong Kong and Macau)
341,Prefer not to answer
342,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
343,Chinese (including Hong Kong and Macau)
344,Chinese (including Hong Kong and Macau)
345,Chinese (including Hong Kong and Macau)
346,Filipino
347,Chinese (including Hong Kong and Macau)
348,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
349,White 
350,Chinese (including Hong Kong and Macau)
351,White 
352,Chinese (including Hong Kong and Macau)
353,White 
354,"Chinese (including Hong Kong and Macau),Filipino"
355,White 
356,Chinese (including Hong Kong and Macau)
357,White 
358,"Latin, Central, or South American (e.g. Brazilian, Chilean, Colombian, Mexican) ,White "
359,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
360,"Indigenous person of Canada (First Nations, Inuit, Métis),White "
361,Chinese (including Hong Kong and Macau)
362,Chinese (including Hong Kong and Macau)
363,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
364,White 
365,Filipino
366,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
367,Korean
368,Filipino
369,Chinese (including Hong Kong and Macau)
370,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
371,Chinese (including Hong Kong and Macau)
372,Chinese (including Hong Kong and Macau)
373,None of the above
374,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:,White "
375,"Filipino,Japanese"
376,White 
377,White 
378,Chinese (including Hong Kong and Macau)
379,Chinese (including Hong Kong and Macau)
380,White 
381,Korean
382,"Indigenous person of Canada (First Nations, Inuit, Métis)"
383,"Chinese (including Hong Kong and Macau),White "
384,White 
385,Chinese (including Hong Kong and Macau)
386,Chinese (including Hong Kong and Macau)
387,Prefer not to answer
388,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
389,Chinese (including Hong Kong and Macau)
390,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
391,Chinese (including Hong Kong and Macau)
392,Chinese (including Hong Kong and Macau)
393,Chinese (including Hong Kong and Macau)
394,Chinese (including Hong Kong and Macau)
395,Chinese (including Hong Kong and Macau)
396,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
397,Chinese (including Hong Kong and Macau)
398,None of the above
399,Chinese (including Hong Kong and Macau)
400,None of the above
401,Chinese (including Hong Kong and Macau)
402,Chinese (including Hong Kong and Macau)
403,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
404,Chinese (including Hong Kong and Macau)
405,
406,Chinese (including Hong Kong and Macau)
407,Korean
408,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
409,Chinese (including Hong Kong and Macau)
410,Chinese (including Hong Kong and Macau)
411,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
412,White 
413,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
414,White 
415,Chinese (including Hong Kong and Macau)
416,Chinese (including Hong Kong and Macau)
417,Chinese (including Hong Kong and Macau)
418,
419,"Korean,White "
420,
421,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
422,Arab 
423,White 
424,Prefer not to answer
425,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
426,White 
427,White 
428,White 
429,
430,White 
431,Prefer not to answer
432,Chinese (including Hong Kong and Macau)
433,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
434,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
435,
436,
437,
438,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
439,"Arab ,West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
440,None of the above
441,Chinese (including Hong Kong and Macau)
442,Prefer not to answer
443,Chinese (including Hong Kong and Macau)
444,Prefer not to answer
445,Chinese (including Hong Kong and Macau)
446,Chinese (including Hong Kong and Macau)
447,Filipino
448,Korean
449,White 
450,None of the above
451,White 
452,Chinese (including Hong Kong and Macau)
453,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
454,"Chinese (including Hong Kong and Macau),Filipino"
455,"Indigenous person of Canada (First Nations, Inuit, Métis),Chinese (including Hong Kong and Macau)"
456,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
457,Filipino
458,Filipino
459,"Korean,White "
460,"Japanese,White "
461,Chinese (including Hong Kong and Macau)
462,Chinese (including Hong Kong and Macau)
463,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
464,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
465,Arab 
466,None of the above
467,
468,
469,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
470,"Korean,White "
471,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
472,"Chinese (including Hong Kong and Macau),Filipino,Latin, Central, or South American (e.g. Brazilian, Chilean, Colombian, Mexican) "
473,
474,Chinese (including Hong Kong and Macau)
475,Chinese (including Hong Kong and Macau)
476,
477,"Chinese (including Hong Kong and Macau),Filipino"
478,None of the above
479,
480,
481,
482,
483,
484,
485,None of the above
